date,dp,dy,ep,bm,ntis,tbl,ltr,tms,dfy,infl,ret
199001,-3.4647177455761864,-3.443527058596547,-2.7377745518509062,0.3904547436,-0.0123335365,0.0763,-0.0006,0.005299999999999999,0.009599999999999997,0.0015885624,-0.067661
199002,-3.385516307329996,-3.4568159849148623,-2.684119796103492,0.4149713959,-0.0138967896,0.0764,-0.0343,0.010099999999999998,0.009500000000000008,0.0103092784,0.013381
199003,-3.38618810616289,-3.3776853997486906,-2.710584368446284,0.4091730897,-0.0117292028,0.0774,-0.0025,0.0102,0.0092,0.0047095761,0.026588
199004,-3.4023747527288735,-3.378409209994597,-2.752840315900938,0.4713339564,-0.0102914402,0.079,-0.0044,0.009900000000000006,0.00839999999999999,0.00546875,-0.024504
199005,-3.365010052589703,-3.3922652208893727,-2.7319133890179037,0.480284256,-0.0101492797,0.0777,-0.0202,0.01469999999999999,0.00839999999999999,0.0015540016,0.097419
199006,-3.4430026127715485,-3.3550017013488476,-2.826278170042815,0.4435699735,-0.0022618111,0.0774,0.0415,0.010900000000000007,0.009399999999999992,0.0023273856,-0.006754
199007,-3.4241674130531323,-3.433093436863324,-2.8237614778482434,0.4429494323,-0.0005072745,0.0773,0.023,0.00910000000000001,0.009599999999999997,0.0054179567,-0.004454
199008,-3.4140552062754965,-3.4192920666131785,-2.8110269254047604,0.4392124466,0.0048850583,0.0762,0.0107,0.00979999999999999,0.009599999999999997,0.0038491147,-0.090801
199009,-3.310140688583538,-3.4092035135649517,-2.7045222056129608,0.4880735629,0.0014392103,0.0745,-0.0419,0.0175,0.009999999999999995,0.009202454,-0.048959
199010,-3.2527717430425764,-3.305312421188447,-2.6445946056040155,0.520289666,0.0013728769,0.0736,0.0117,0.017799999999999996,0.01079999999999999,0.0083586626,-0.003597
199011,-3.2389778390814348,-3.2456986249722917,-2.644024249628396,0.5224519209,-0.0004706842,0.0717,0.0215,0.018100000000000005,0.0121,0.006028636,0.064561
199012,-3.2901612394955198,-3.2319543988389006,-2.708424239142049,0.4985056551,0.0009098866,0.0706,0.0402,0.015200000000000005,0.013200000000000003,0.002247191,0.027987
199101,-3.30771134106432,-3.2831867841234743,-2.73917585313008,0.4844968599,-0.0018459075,0.0674,0.0187,0.017,0.013800000000000007,0.0,0.045001
199102,-3.347728686443716,-3.307049637152666,-2.786120978810327,0.4663077997,0.0007215596,0.0622,0.013,0.0215,0.014100000000000001,0.0059790732,0.071565
199103,-3.412181837361523,-3.3470674200946076,-2.85754572922146,0.4427204408,0.001246896,0.0594,0.003,0.024699999999999993,0.012399999999999994,0.0014858841,0.024354
199104,-3.4334809630504637,-3.411521007996652,-2.8858513151730736,0.4571255997,0.0032513958,0.0591,0.0038,0.025300000000000003,0.0116,0.0014836795,0.002268
199105,-3.4328121924048,-3.4324657890012533,-2.9108545151894805,0.4612395987,0.0057301566,0.0565,0.014,0.027199999999999995,0.010800000000000004,0.0014814815,0.04293
199106,-3.4696416296627794,-3.4317898070249,-2.9739864945004384,0.4399669694,0.0069821048,0.0546,0.0,0.029900000000000003,0.009999999999999995,0.0029585799,-0.045357
199107,-3.4195510107668445,-3.468628520938757,-2.9508448393040596,0.458243743,0.0142474894,0.0557,-0.0063,0.030299999999999994,0.009499999999999995,0.0029498525,0.046526
199108,-3.4599241961099665,-3.416041903630979,-3.0224123682466115,0.4403567816,0.0148355528,0.0558,0.0157,0.029200000000000004,0.008900000000000005,0.0014705882,0.023885
199109,-3.475893786232598,-3.4564355348040796,-3.070344205891905,0.4376396373,0.0173312983,0.0533,0.034,0.028499999999999998,0.009000000000000008,0.0029368576,-0.016861
199110,-3.453079776087511,-3.4724091067119,-3.0803230277254317,0.441531837,0.023289044,0.0522,0.0303,0.026799999999999997,0.009000000000000008,0.0043923865,0.013458
199111,-3.466827054889143,-3.4550368834560614,-3.127333395319518,0.4340034538,0.0255088958,0.0499,0.0054,0.029200000000000004,0.009399999999999992,0.0014577259,-0.040214
199112,-3.4238658994534115,-3.4687880000391234,-3.1189113512083675,0.4601544903,0.030689947,0.0456,0.0082,0.033299999999999996,0.0097,0.0029112082,0.114089
199201,-3.5316202026998593,-3.4258306974657624,-3.2625900636226404,0.4203444173,0.0318123844,0.0407,0.0581,0.032299999999999995,0.009500000000000008,0.0007256894,-0.018348
199202,-3.5082227281611145,-3.5283231772599075,-3.237910259812231,0.4132296785,0.0319414665,0.038,-0.0324,0.0396,0.009300000000000003,0.0014503263,0.012865
199203,-3.514447756490556,-3.5049283964827884,-3.2428649352771544,0.4076305252,0.0335560213,0.0384,0.0051,0.03930000000000001,0.009399999999999992,0.0036205648,-0.01947
199204,-3.4890986759482137,-3.511172356024115,-3.216253488993091,0.4021060342,0.041900538,0.0404,-0.0094,0.039299999999999995,0.008999999999999994,0.0050505051,0.028614
199205,-3.5167149411060614,-3.4892041667442393,-3.226210769332828,0.3873034718,0.0386618101,0.0375,0.0016,0.0428,0.008800000000000002,0.0014357502,0.00485
199206,-3.517792066265976,-3.5168285590253525,-3.209929565238186,0.3829985163,0.0371754887,0.0363,0.0243,0.041800000000000004,0.008500000000000008,0.0014336918,-0.01503
199207,-3.5003862946955655,-3.5178975801797066,-3.1754600490714138,0.3920423538,0.0430765596,0.0366,0.02,0.0399,0.008300000000000002,0.0035790981,0.040924
199208,-3.536977492841532,-3.4983591300037964,-3.194908495801429,0.3833486997,0.0414947919,0.0321,0.0398,0.0405,0.007700000000000012,0.0021398003,-0.020615
199209,-3.5106642485636614,-3.5349544292342783,-3.1518089831733156,0.3994050369,0.0430499562,0.0313,0.0067,0.041199999999999994,0.006999999999999992,0.0028469751,0.01134
199210,-3.5177096836353114,-3.5086452694809043,-3.1424113344879876,0.3976569721,0.0411377823,0.0291,0.0185,0.04189999999999999,0.006999999999999992,0.0028388928,0.004796
199211,-3.520080011332367,-3.517975955468149,-3.1252998663704536,0.4032511778,0.0410960987,0.0286,-0.0198,0.0455,0.008500000000000008,0.0035385704,0.033794
199212,-3.5501673467206794,-3.5203544261847752,-3.1362595487123115,0.3936264585,0.0379866517,0.0313,0.001,0.043500000000000004,0.008599999999999997,0.0014104372,0.01338
199301,-3.5604908214908733,-3.5504337625812648,-3.12781224669454,0.3941096142,0.0388286878,0.0322,0.0246,0.0404,0.008300000000000002,-0.0007042254,0.007282
199302,-3.5649880229908235,-3.5579667589121047,-3.1218226584857667,0.3930481045,0.0417538423,0.03,0.028,0.042499999999999996,0.007599999999999996,0.0049330514,0.013526
199303,-3.572891323277257,-3.5624622816223646,-3.119407958209358,0.3859601969,0.0407281702,0.0293,0.0354,0.0405,0.0068000000000000005,0.0035063114,0.021202
199304,-3.588904593166543,-3.57037995864009,-3.125251722835533,0.3336135264,0.0371064145,0.0295,0.0021,0.0407,0.005699999999999997,0.0034940601,-0.024519
199305,-3.5619819346299204,-3.5877273074346956,-3.108111819486517,0.334349806,0.0398126855,0.0287,0.0072,0.04139999999999999,0.0068000000000000005,0.0027855153,0.026259
199306,-3.5832772919180753,-3.560814027929693,-3.1392552503061664,0.3248824215,0.0402546288,0.0296,0.0047,0.040499999999999994,0.007800000000000001,0.0013888889,0.003466
199307,-3.582857713924109,-3.582102762293972,-3.148766374285765,0.3259312476,0.0411540214,0.0307,0.0449,0.03609999999999999,0.00739999999999999,0.0013869626,-0.004593
199308,-3.5776202296908415,-3.5829615283040908,-3.124972476241721,0.3237770308,0.0410077869,0.0304,0.0191,0.03520000000000001,0.007599999999999996,0.0,0.037431
199309,-3.611584499419972,-3.5777320418465366,-3.1407066727136126,0.3138649833,0.0401929369,0.0302,0.0434,0.032100000000000004,0.007499999999999993,0.0027700831,-0.007582
199310,-3.601650202706259,-3.6116883361886654,-3.112872716162031,0.3223518215,0.0418407109,0.0295,0.0005,0.03320000000000001,0.0068000000000000005,0.0020718232,0.019884
199311,-3.6193170222372624,-3.600109733157134,-3.1081979408203675,0.3113628329,0.0403671364,0.0302,0.0096,0.032100000000000004,0.006400000000000003,0.0041350793,-0.008655
199312,-3.6047762190378494,-3.6177709588116693,-3.0718735377606707,0.3110794108,0.0438375603,0.031,-0.0259,0.034100000000000005,0.007300000000000001,0.0006863418,0.012646
199401,-3.613281084341952,-3.6032404932250746,-3.0591209218721986,0.3052672229,0.0457268699,0.0306,0.002,0.0348,0.007599999999999996,0.0,0.033429
199402,-3.64182802927731,-3.6098442047856394,-3.07869689013908,0.2880585672,0.0436711352,0.0298,0.0257,0.033900000000000007,0.007300000000000001,0.0027434842,-0.027161
199403,-3.6078893655089392,-3.6383950247982493,-3.035930987592574,0.2990588209,0.0450411316,0.0325,-0.045,0.035699999999999996,0.0068000000000000005,0.0034199726,-0.043456
199404,-3.5576501012139685,-3.604475975886934,-2.9769977678188986,0.3074838051,0.0419050878,0.035,-0.0395,0.03749999999999999,0.006499999999999992,0.0034083163,0.012817
199405,-3.5657600211317533,-3.5542953820205163,-2.952566661215472,0.3036647862,0.0398456593,0.0368,-0.015,0.0377,0.006400000000000003,0.0013586957,0.016309
199406,-3.574767178185879,-3.5624243356333487,-2.930257737963018,0.2974694757,0.0396410671,0.0414,-0.0082,0.034499999999999996,0.0063,0.0006784261,-0.024762
199407,-3.5442566713944177,-3.5714347912770292,-2.869588491200144,0.3084170767,0.033995564,0.0414,-0.01,0.036,0.0068000000000000005,0.0033898305,0.032714
199408,-3.5729588536596095,-3.541976452657316,-2.8727858921457963,0.2969853808,0.0312112174,0.0433,0.0363,0.0313,0.0068999999999999895,0.0027027027,0.041341
199409,-3.607628062003333,-3.570676066737703,-2.8827040690184793,0.2856838193,0.0287065182,0.0448,-0.0086,0.0313,0.0067000000000000115,0.0040431267,-0.02394
199410,-3.5780918384121305,-3.6053582124423906,-2.8291155080152084,0.2909046586,0.0290032948,0.0462,-0.0331,0.033800000000000004,0.006400000000000003,0.0026845638,0.022619
199411,-3.5923632695298426,-3.5717435412698837,-2.810627113546189,0.2860712737,0.0260004953,0.0495,-0.0025,0.0314,0.0063,0.000669344,-0.036248
199412,-3.545741287593467,-3.5860473783778515,-2.732684956475911,0.2989926143,0.022917147,0.0529,0.0066,0.027899999999999994,0.006400000000000003,0.0013377926,0.014955
199501,-3.5516967566569093,-3.5394726296755694,-2.708638263453764,0.2915683,0.0165942926,0.056,0.0161,0.023899999999999998,0.006400000000000003,0.0,0.026
199502,-3.575684396932208,-3.5516967566569093,-2.711606536504987,0.2908537344,0.0150933699,0.0571,0.0273,0.020900000000000002,0.006200000000000011,0.004008016,0.039228
199503,-3.6111231081963044,-3.575684396932208,-2.7264586141606952,0.2787300356,0.0145320951,0.0577,0.0287,0.018100000000000005,0.005899999999999989,0.003992016,0.029334
199504,-3.6380855754204164,-3.6111231081963044,-2.733249722521028,0.3138765419,0.0143885983,0.0573,0.0091,0.0182,0.0058,0.0033134526,0.029395
199505,-3.660837028813699,-3.633260484725861,-2.741755812951892,0.3019947008,0.0130124069,0.0565,0.0169,0.017999999999999995,0.005699999999999997,0.0033025099,0.039809
199506,-3.6917106046478185,-3.6560426281633482,-2.758713180888651,0.2922642542,0.010743778,0.0567,0.079,0.010999999999999996,0.005500000000000005,0.0019749835,0.024155
199507,-3.7079869582179725,-3.6869315961411573,-2.761398696474297,0.2864296179,0.0082749191,0.0547,0.0139,0.012300000000000005,0.006000000000000005,0.0019710907,0.033405
199508,-3.7339463515120443,-3.7026647195758566,-2.7854454538485762,0.2771603672,0.0070611198,0.0542,-0.0168,0.014899999999999997,0.0063,0.0,0.003495
199509,-3.728324581995689,-3.7286448837938972,-2.7779422451439686,0.2830461347,0.0091214683,0.054,0.0236,0.013400000000000002,0.006199999999999997,0.0026229508,0.042102
199510,-3.7623729254775635,-3.72305843814271,-2.8101250519881504,0.2724949976,0.006379353,0.0528,0.0175,0.013499999999999998,0.006099999999999994,0.0019620667,-0.003442
199511,-3.752164533565487,-3.7571563529043304,-2.8167611210379024,0.2744202453,0.0122212523,0.0528,0.0294,0.011300000000000004,0.0063,0.0032637076,0.044179
199512,-3.7872039018496326,-3.746975032462449,-2.8687517690594637,0.2571688515,0.0168709535,0.0536,0.0249,0.0087,0.006599999999999995,-0.0006506181,0.017643
199601,-3.7993346720581638,-3.782041192691284,-2.897949959269636,0.2550263829,0.0155265173,0.0514,0.0272,0.008899999999999998,0.006699999999999998,-0.0006510417,0.034861
199602,-3.823823299844693,-3.7917266111709047,-2.9292607377704716,0.2418771721,0.0161278629,0.05,-0.0011,0.0109,0.006600000000000009,0.0058631922,0.010088
199603,-3.8231753575858467,-3.8162655412256608,-2.935388201149576,0.2378947371,0.0168013686,0.0483,-0.0483,0.017599999999999998,0.006400000000000003,0.003238342,0.009585
199604,-3.823566765191128,-3.8156813806511876,-2.9424889065815236,0.2392996154,0.0168919131,0.0496,-0.021,0.018800000000000004,0.0068000000000000005,0.0051646223,0.015133
199605,-3.832924982035051,-3.819582935804875,-2.9473476490472725,0.2400758062,0.0211219538,0.0495,-0.0165,0.021099999999999994,0.006900000000000003,0.0038535645,0.025257
199606,-3.8515460863075535,-3.828949926584158,-2.9615318664922055,0.2369235155,0.0264191545,0.0502,-0.0054,0.0215,0.0068000000000000005,0.0019193858,0.004128
199607,-3.8498479284411316,-3.847593775592637,-2.955444247971818,0.2364437252,0.0272161737,0.0509,0.0203,0.0194,0.006900000000000003,0.0006385696,-0.044441
199608,-3.7939327013078485,-3.840760222094811,-2.898263744495316,0.2418198938,0.0311368642,0.0515,0.0018,0.019200000000000002,0.007000000000000006,0.0019144863,0.021928
199609,-3.8035591336592987,-3.7849199575753785,-2.9066532186626635,0.2380611179,0.0308861056,0.0505,-0.0139,0.022099999999999995,0.007199999999999998,0.001910828,0.056035
199610,-3.847389917171492,-3.794633713848317,-2.9492664892527856,0.2272973181,0.0295807368,0.0509,0.029,0.019500000000000003,0.006900000000000003,0.0031786395,0.026798
199611,-3.8678597956376524,-3.842064515128507,-2.9500981911761337,0.2217476558,0.0256558088,0.0499,0.0404,0.017200000000000007,0.0068000000000000005,0.0031685678,0.076441
199612,-3.9333648209469425,-3.862555855997279,-2.996551609937393,0.2050079191,0.0220673413,0.0503,0.0351,0.013999999999999999,0.006900000000000003,0.0018951358,-0.019801
199701,-3.906355589926097,-3.9280955765625025,-2.951035193004638,0.2073427297,0.0241256867,0.0491,-0.0256,0.0182,0.006900000000000003,0.0,0.062779
199702,-3.9622951998967353,-3.902784552373863,-2.997634458074083,0.1962401029,0.0244069327,0.0503,-0.0079,0.018600000000000005,0.006699999999999998,0.0031525851,0.007752
199703,-3.964640252900873,-3.9587302051336755,-2.990795187904119,0.1943954108,0.0229109266,0.0501,0.0005,0.019300000000000005,0.0063,0.0031426776,-0.041653
199704,-3.917545942245285,-3.961094562716686,-2.934660235558484,0.2147802023,0.0211485434,0.0514,-0.0252,0.020900000000000002,0.0063,0.0025062657,0.060274
199705,-3.9720542662426452,-3.9152907011726765,-2.9888599925793025,0.2017410478,0.0169452901,0.0516,0.0255,0.018899999999999993,0.006100000000000008,0.00125,0.061401
199706,-4.0267295433908,-3.969804099839874,-3.043225711994618,0.1928785879,0.0132644502,0.0505,0.0097,0.019599999999999992,0.006199999999999997,-0.0006242197,0.044103
199707,-4.067019483487831,-4.024484428871418,-3.0832100440258534,0.184287615,0.010846707,0.0493,0.0195,0.019500000000000003,0.006099999999999994,0.0012492192,0.080388
199708,-4.13846895742606,-4.063247173530078,-3.1576922740855884,0.171964943,0.0115926587,0.0505,0.0626,0.013200000000000003,0.006099999999999994,0.0012476606,-0.05497
199709,-4.0755423704506875,-4.1347042779616885,-3.0977913592740496,0.1855054038,0.012877263,0.0514,-0.0317,0.015799999999999995,0.006000000000000005,0.0018691589,0.053886
199710,-4.12358735156845,-4.071798332518004,-3.148841916752475,0.177967857,0.0146342661,0.0495,0.0316,0.015399999999999997,0.005500000000000005,0.0024875622,-0.032605
199711,-4.084940189478857,-4.1200262310336395,-3.1213312479859088,0.1900006773,0.0162628256,0.0497,0.0341,0.0126,0.005699999999999997,0.0024813896,0.046321
199712,-4.125019603722656,-4.081398181234713,-3.172583369520963,0.1807462988,0.0156672081,0.0514,0.0148,0.010000000000000002,0.005500000000000005,-0.0006188119,0.017147
199801,-4.137092815433343,-4.121483644150663,-3.195884433061569,0.1788008842,0.0155594713,0.0516,0.0184,0.008599999999999997,0.005600000000000008,-0.0012383901,0.011994
199802,-4.144099201631061,-4.134000228727825,-3.2074951220501284,0.1788402734,0.0137396363,0.0504,0.02,0.0085,0.0058,0.0018598884,0.071956
199803,-4.209094578486406,-4.1410161495390305,-3.27708755582872,0.1654630971,0.0120563774,0.0509,-0.0072,0.009000000000000001,0.0058,0.0018564356,0.051336
199804,-4.254759432029992,-4.2060210023970495,-3.3273422859796256,0.181140396,0.0164888614,0.0503,0.0025,0.009899999999999999,0.006000000000000005,0.0018529957,0.011275
199805,-4.257231289080908,-4.248195763412198,-3.3411946545273934,0.1758729222,0.0164053658,0.0495,0.0026,0.0109,0.006400000000000003,0.0018495684,-0.017674
199806,-4.231704778009526,-4.250710421430135,-3.3270291683078868,0.1791022057,0.0190752061,0.05,0.0182,0.0092,0.006099999999999994,0.0018461538,0.04097
199807,-4.263906551627796,-4.2252261567393425,-3.3705732615080324,0.178060606,0.0240105767,0.0498,0.0228,0.007800000000000001,0.006000000000000005,0.0012285012,-0.010109
199808,-4.248199926632953,-4.259883307775587,-3.3664446481789687,0.1794381089,0.0253535652,0.0496,-0.004,0.008800000000000002,0.0059999999999999915,0.0012269939,-0.143124
199809,-4.086600514930241,-4.244186585004535,-3.2164734604759935,0.2114320916,0.0285190292,0.049,0.0465,0.005699999999999997,0.006200000000000011,0.0012254902,0.063176
199810,-4.143135709666517,-4.082609410466329,-3.2846704483513967,0.2032484042,0.0240829091,0.0461,0.0395,0.005600000000000001,0.006900000000000003,0.0012239902,0.080111
199811,-4.219298019060163,-4.14206461156484,-3.3652357327596825,0.1855190768,0.0207400892,0.0396,-0.0218,0.014399999999999996,0.008099999999999996,0.0024449878,0.062164
199812,-4.275665957621882,-4.2182218856147315,-3.4260201772659844,0.1748468445,0.0220035773,0.0441,0.0097,0.009399999999999999,0.009300000000000003,0.0,0.059673
199901,-4.329440683453013,-4.274597155721091,-3.48421792480604,0.1736113154,0.0200570294,0.0439,-0.0032,0.010299999999999997,0.010100000000000005,-0.0006097561,0.0428
199902,-4.3644151344692865,-4.324224303190128,-3.518504713066352,0.1703206191,0.0155876993,0.0434,0.0121,0.0102,0.01050000000000001,0.0024405125,-0.031935
199903,-4.326416843865045,-4.359231934530424,-3.4798176118368587,0.1712768096,0.0184466675,0.0444,-0.052,0.0143,0.009899999999999992,0.0012172855,0.038979
199904,-4.359314892167221,-4.321254291600065,-3.512043086677689,0.1728971707,0.0206681224,0.0444,-0.0008,0.0148,0.00910000000000001,0.0030395137,0.037559
199905,-4.396574946473148,-4.359333130524311,-3.526615204357765,0.1568258764,0.0251812663,0.0429,0.0021,0.0165,0.008400000000000005,0.0072727273,-0.023159
199906,-4.371311798946327,-4.396599264800049,-3.4791605839841666,0.1602311354,0.0258974347,0.045,-0.0185,0.0165,0.007900000000000004,0.0,0.054431
199907,-4.42433827787127,-4.371330038079604,-3.5104824144997897,0.1542274468,0.0188685806,0.0457,-0.0078,0.017000000000000008,0.00789999999999999,0.0,-0.03022
199908,-4.387865794051987,-4.420436609405268,-3.4543017335073753,0.1587964727,0.0193704415,0.0455,-0.0077,0.0184,0.007599999999999996,0.0030084236,-0.004989
199909,-4.377699478497794,-4.383973256875592,-3.4249626821985824,0.1562430269,0.0188807383,0.0472,-0.0053,0.0177,0.007500000000000007,0.0023995201,-0.028079
199910,-4.344860776589405,-4.37382804367174,-3.3734501767951914,0.1636844982,0.0203796791,0.0468,0.0084,0.017800000000000003,0.00810000000000001,0.0047875524,0.064238
199911,-4.40450149156448,-4.343839724817464,-3.402688664981629,0.1576906607,0.0204452369,0.0486,-0.0012,0.016500000000000008,0.008300000000000002,0.0017867778,0.020822
199912,-4.422363954036967,-4.40348148127594,-3.3911031346402276,0.1555459671,0.0182804544,0.0507,-0.0061,0.015499999999999993,0.007900000000000004,0.0005945303,0.062579
200001,-4.477577782763454,-4.421344983109348,-3.4177709248506307,0.1471672594,0.0178887565,0.052,-0.0155,0.0162,0.006400000000000003,0.0,-0.04963
200002,-4.423938054878034,-4.476182877830819,-3.3464706997741467,0.15465416,0.0253587807,0.0532,0.0228,0.013400000000000009,0.005500000000000005,0.0029708853,-0.017458
200003,-4.402226056187224,-4.422539118797674,-3.307460563045661,0.1670564326,0.027418814,0.0555,0.0264,0.009100000000000004,0.006100000000000008,0.0059241706,0.098488
200004,-4.4931588523750365,-4.4008350402528125,-3.3814285123830174,0.1499735618,0.0182913901,0.0569,0.0367,0.004900000000000002,0.006900000000000003,0.0082449941,-0.031585
200005,-4.463030952415649,-4.494310929673727,-3.3438231459436056,0.1526004182,0.0119449458,0.0566,-0.0076,0.006400000000000003,0.0076000000000000095,0.0005841121,-0.022304
200006,-4.442031639960686,-4.46419033819065,-3.3153768796096763,0.1556687311,0.0091785275,0.0579,-0.0054,0.006100000000000001,0.009099999999999997,0.0011675423,0.026219
